"price_total","quantity","date_created.year","date_created.month","date_created.day","customer.name","country.region","country.country","product.category","product.name"
"1155,51",1,2013,6,28,"Colonial Movers","Europe","Spain","Sports","Mountain Bike"
"50,2403",1,2013,7,28,"Corellian Engineering Corporation","Europe","Spain","Books","Build your own bicycle"
"505,75",1,2013,8,17,"Incom Corporation","Europe","Spain","Sports","Snowboard table"
"1039,96",1,2013,9,24,"General Products","Europe","Spain","Sports","Mountain Bike"
"50,2396",1,2013,10,14,"Leeding Engines Ltd.","Europe","Spain","Books","Build your own bicycle"
"115,54",1,2013,11,14,"Acme, inc.","Europe","Spain","Sports","Snowboard boots"
"45,99",1,2013,12,14,"Widget Corp","Europe","United Kingdom of Great Britain & Northern Ireland","Sports","Trial Bike"
"49,5",1,2012,1,10,"123 Warehousing","North America","United States of America","Sports","Trial Bike"
"841,5",2,2012,2,5,"Demo Company","South America","Uruguay","Sports","Snowboard table"
"371,25",1,2012,3,5,"Smith and Co.","Europe","Spain","Sports","Tent for extreme weather"
140,1,2012,4,5,"Foo Bars","South America","Brazil","Sports","Termic Jacket "
990,2,2012,5,4,"ABC Telecom","South America","Guatemala","Sports","Tent for extreme weather"
280,2,2012,6,6,"Fake Brothers","North America","United States of America","Sports","Termic Jacket "
495,1,2012,7,8,"QWERTY Logistics","Europe","Portugal","Sports","Tent for extreme weather"
140,1,2012,8,12,"Demo, inc.","South America","Brazil","Sports","Termic Jacket "
"49,95",1,2012,9,15,"Sample Company","Europe","Switzerland","Books","Bicycle Wheel"
"455,4",1,2012,2,18,"Sample, inc","Europe","Switzerland","Sports","Snowboard table"
"240,1",1,2012,3,18,"Acme Corp","Europe","Netherlands","Videos","Climb higher, faster, better (2010)"
"50,5325",1,2012,4,16,"Allied Biscuit","North America","United States of America","Books","Bicycle Wheel"
"697,29",1,2012,5,16,"Ankh-Sto Associates","Europe","Spain","Sports","Mountain Bike"
717,1,2012,2,14,"Extensive Enterprise","South America","Brazil","Sports","Mountain Bike"
"115,24",1,2012,3,14,"Galaxy Corp","Africa","South Africa","Sports","Snowboard boots"
478,1,2012,4,14,"Globo-Chem","North America","Canada","Sports","Mountain Bike"
478,1,2012,5,14,"Mr. Sparkle","Europe","United Kingdom of Great Britain & Northern Ireland","Sports","Mountain Bike"
"49,95",1,2012,6,11,"Globex Corporation","Europe","Slovakia (Slovak Republic)","Books","Bicycle Wheel"
"45,2676",1,2013,7,9,"LexCorp","South America","Brazil","Sports","Trial Bike"
"45,27",1,2013,8,9,"LuthorCorp","Europe","Hungary","Sports","Trial Bike"
495,1,2013,9,7,"North Central Positronics","Europe","Spain","Sports","Tent for extreme weather"
140,1,2013,10,7,"Omni Consimer Products","Europe","Germany","Sports","Termic Jacket "
2970,1,2013,11,7,"Praxis Corporation","Europe","Spain","Various","Various"
"45,37",1,2013,12,4,"Sombra Corporation","Europe","France","Sports","Trial Bike"
140,1,2013,1,14,"Sto Plains Holdings","Europe","France","Sports","Termic Jacket "
495,1,2013,2,10,"Tessier-Ashpool","Europe","Portugal","Sports","Tent for extreme weather"
"252,45",1,2013,3,5,"Wayne Enterprises","Europe","Spain","Sports","Snowboard table"
1195,1,2013,4,5,"Wentworth Industries","Europe","Ireland","Sports","Mountain Bike"
"49,95",1,2013,5,5,"ZiffCorp","North America","United States of America","Books","Bicycle Wheel"
"26,95",2,2013,2,4,"Bluth Company","South America","Brazil","Videos","Communicate your skills (2009)"
220,11,2013,3,6,"Strickland Propane","South America","Brazil","Videos","Best windsurf Videos of the year (2013)"
"208,25",1,2013,4,8,"Thatherton Fuels","South America","Ecuador","Videos","Climb higher, faster, better (2010)"
"420,75",1,2013,5,12,"Three Waters","South America","Ecuador","Sports","Snowboard table"
495,1,2013,10,15,"Water and Power","South America","Ecuador","Sports","Climbing equipment"
140,1,2013,11,18,"Western Gas & Electric","South America","Ecuador","Sports","Climbing boots"
"857,75",1,2013,12,18,"Mammoth Pictures","South America","Ecuador","Sports","Mountain Bike"
"137,699",1,2013,1,16,"Mooby Corp","South America","Ecuador","Sports","Climbing boots"
"493,421",1,2013,2,16,"Gringotts","South America","Ecuador","Sports","Climbing equipment"
10,1,2013,3,14,"Thrift Bank","South America","Ecuador","Sports","Snowboard boots"
"45,52",1,2012,4,14,"Flowers By Irene","Europe","Denmark","Sports","Trial Bike"
"346,5",1,2012,5,10,"The Legitimate Businessmens Club","South America","Brazil","Sports","Snowboard table"
"208,25",1,2012,6,5,"Osato Chemicals","North America","United States of America","Videos","Climb higher, faster, better (2010)"
29,1,2012,7,5,"Transworld Consortium","North America","United States of America","Sports","Trial Bike"
29,1,2012,8,5,"Universal Export","South America","Brazil","Sports","Trial Bike"
495,1,2012,2,4,"United Fried Chicken","South America","Brazil","Sports","Tent for extreme weather"
140,1,2012,3,6,"Virtucon","South America","Brazil","Sports","Termic Jacket "
"49,95",1,2012,4,8,"Kumatsu Motors","South America","Brazil","Books","Build your own bicycle"
"45,75",1,2012,5,12,"Keedsler Motors","Europe","Netherlands","Sports","Trial Bike"
495,1,2012,1,15,"Powell Motors","Europe","Spain","Sports","Snowboard table"
495,1,2012,2,18,"Industrial Automation","Europe","Spain","Sports","Mountain Bike"
140,1,2013,3,18,"Sirius Cybernetics Corporation","Europe","Spain","Sports","Mountain Bike"
140,1,2013,4,16,"U.S. Robotics and Mechanical Men","South America","Brazil","Sports","Mountain Bike"
140,1,2013,5,16,"Colonial Movers","Europe","Spain","Sports","Mountain Bike"
495,5,2013,6,14,"Corellian Engineering Corporation","Europe","Spain","Videos","Extreme mountain bike sessions (2012)"
"49,95",1,2013,7,23,"Incom Corporation","Europe","Spain","Books","Bicycle Wheel"
"49,95",1,2013,8,18,"General Products","Europe","Spain","Books","Bicycle Wheel"
